year,day,team1,team2,score1,score2,target
2998,19,317,131,336,278,True
2998,28,61,29,301,259,True
2998,28,110,141,359,267,True
2998,28,352,146,309,410,False
2998,28,229,91,332,220,True
2998,28,164,238,236,278,False
2998,28,184,243,181,224,False
2998,28,245,23,216,185,True
2998,28,300,349,402,321,True
2998,30,61,110,259,325,False
2998,30,229,245,294,185,True
2998,30,300,243,220,178,True
2998,31,10,310,282,232,True
2998,31,39,69,317,259,True
2998,31,205,43,282,352,False
2998,31,47,112,406,398,True
2998,31,180,51,282,328,False
2998,31,53,22,417,297,True
2998,31,63,116,294,178,True
2998,31,82,312,336,297,True
2998,31,265,101,263,305,False
2998,31,70,125,390,448,False
2998,31,150,117,332,286,True
2998,31,188,158,425,541,False
2998,31,161,319,297,294,True
2998,31,241,166,212,379,False
2998,31,273,169,228,363,False
2998,31,232,185,150,301,False
2998,31,201,98,309,267,True
2998,31,207,126,433,379,True
2998,31,146,238,259,328,False
2998,31,206,244,282,356,False
2998,31,234,249,305,340,False
2998,31,260,261,232,220,True
2998,31,250,264,232,259,False
2998,31,283,271,301,383,False
2998,31,302,274,228,243,False
2998,31,291,278,290,352,False
2998,31,272,281,239,305,False
2998,31,351,288,274,286,False
2998,31,159,290,216,379,False
2998,31,295,268,348,224,True
2998,31,308,259,290,185,True
2998,31,48,350,239,402,False
2998,31,59,363,236,247,False
2998,33,4,72,294,228,True
2998,33,14,8,317,286,True
2998,33,65,19,201,216,False
2998,33,310,22,263,348,False
2998,33,287,33,205,243,False
2998,33,38,45,212,297,False
2998,33,188,48,274,336,False
2998,33,78,52,313,317,False
2998,33,53,10,278,267,True
2998,33,50,58,208,263,False
2998,33,96,97,294,255,True
2998,33,104,26,429,282,True
2998,33,198,120,239,328,False
2998,33,337,122,189,305,False
2998,33,134,171,390,185,True
2998,33,320,142,224,472,False
2998,33,327,143,251,398,False
2998,33,157,124,394,282,True
2998,33,163,219,309,286,True
2998,33,168,191,321,205,True
2998,33,192,17,236,232,True
2998,33,204,258,352,162,True
2998,33,82,207,328,352,False
2998,33,217,303,313,290,True
2998,33,220,318,301,297,True
2998,33,159,234,317,348,False
2998,33,237,139,325,247,True
2998,33,248,218,394,278,True
2998,33,268,112,433,286,True
2998,33,285,210,282,247,True
2998,33,249,290,247,263,False
2998,33,47,295,278,286,False
2998,33,126,312,309,383,False
2998,33,326,328,220,224,False
2998,33,331,311,321,216,True
2998,33,129,333,255,356,False
2998,33,334,2,282,263,True
2998,33,92,344,236,301,False
2998,33,347,251,251,239,True
2998,33,322,348,228,336,False
2998,33,158,350,325,367,False
2998,33,353,269,317,208,True
2998,33,160,358,259,344,False
2998,33,361,156,371,301,True
2998,35,135,171,441,228,True
2998,35,336,184,251,278,False
2998,35,54,214,224,375,False
2998,35,250,261,301,263,True
2998,35,69,256,259,282,False
2998,37,16,178,356,321,True
2998,37,327,24,282,305,False
2998,37,43,188,375,193,True
2998,37,50,153,278,189,True
2998,37,51,354,328,309,True
2998,37,53,92,290,224,True
2998,37,32,56,208,243,False
2998,37,254,57,185,193,False
2998,37,60,306,359,321,True
2998,37,68,262,359,325,True
2998,37,73,22,390,363,True
2998,37,191,75,301,313,False
2998,37,87,81,290,398,False
2998,37,132,83,193,228,False
2998,37,90,297,336,270,True
2998,37,91,69,286,170,True
2998,37,70,101,278,356,False
2998,37,11,104,309,313,False
2998,37,202,127,259,297,False
2998,37,80,150,317,379,False
2998,37,159,158,336,390,False
2998,37,268,170,336,352,False
2998,37,177,149,313,263,True
2998,37,179,138,267,212,True
2998,37,45,181,162,278,False
2998,37,325,204,325,359,False
2998,37,208,311,390,301,True
2998,37,229,298,344,224,True
2998,37,128,236,232,251,False
2998,37,249,13,297,274,True
2998,37,274,260,263,290,False
2998,37,291,26,410,328,True
2998,37,241,301,216,321,False
2998,37,303,196,317,263,True
2998,37,211,308,247,278,False
2998,37,323,322,255,263,False
2998,37,299,335,344,371,False
2998,37,336,148,267,197,True
2998,37,356,338,166,301,False
2998,37,344,160,270,228,True
2998,37,54,348,220,375,False
2998,37,355,251,301,150,True
2998,37,269,358,274,317,False
2998,37,29,361,232,301,False
2998,38,259,6,251,290,False
2998,38,13,149,286,247,True
2998,38,258,24,232,383,False
2998,38,35,30,259,383,False
2998,38,31,117,328,325,True
2998,38,33,52,305,247,True
2998,38,320,37,321,375,False
2998,38,39,223,259,232,True
2998,38,329,40,255,317,False
2998,38,48,154,414,398,True
2998,38,64,357,294,263,True
2998,38,334,78,251,317,False
2998,38,133,82,313,348,False
2998,38,124,96,232,286,False
2998,38,139,99,352,387,False
2998,38,173,108,247,325,False
2998,38,300,110,414,464,False
2998,38,134,342,367,224,True
2998,38,135,66,356,290,True
2998,38,142,14,352,309,True
2998,38,164,62,363,313,True
2998,38,168,171,445,232,True
2998,38,249,177,259,290,False
2998,38,178,244,344,317,True
2998,38,17,183,267,270,False
2998,38,184,106,208,197,True
2998,38,185,263,278,197,True
2998,38,210,283,305,228,True
2998,38,226,175,363,236,True
2998,38,228,276,236,232,True
2998,38,238,229,243,286,False
2998,38,209,233,224,305,False
2998,38,205,234,239,301,False
2998,38,239,86,398,344,True
2998,38,100,248,216,239,False
2998,38,278,8,402,325,True
2998,38,293,65,301,274,True
2998,38,295,309,363,313,True
2998,38,247,333,321,375,False
2998,38,321,341,328,387,False
2998,38,347,282,232,228,True
2998,38,351,111,305,297,True
2998,38,353,305,282,174,True
2998,38,206,363,286,294,False
2998,40,299,4,328,406,False
2998,40,74,291,398,328,True
2998,40,150,120,336,375,False
2998,40,129,127,278,247,True
2998,40,161,192,371,251,True
2998,40,16,177,274,332,False
2998,40,178,13,267,143,True
2998,40,187,322,336,259,True
2998,40,208,281,336,309,True
2998,40,122,214,251,263,False
2998,40,70,219,309,332,False
2998,40,110,229,274,301,False
2998,40,236,38,344,239,True
2998,40,238,300,352,336,True
2998,40,244,149,336,294,True
2998,40,256,343,282,247,True
2998,40,275,279,290,313,False
2998,40,303,207,224,216,True
2998,40,241,308,208,464,False
2998,40,312,190,359,239,True
2998,42,196,166,274,294,False
2998,44,73,12,263,325,False
2998,44,54,19,228,205,True
2998,44,56,269,340,309,True
2998,44,63,363,305,212,True
2998,44,74,283,309,259,True
2998,44,172,77,344,356,False
2998,44,288,80,247,270,False
2998,44,85,57,294,224,True
2998,44,26,97,305,363,False
2998,44,273,100,267,348,False
2998,44,101,218,325,270,True
2998,44,111,24,297,290,True
2998,44,118,186,274,212,True
2998,44,43,147,294,383,False
2998,44,265,169,247,328,False
2998,44,174,163,239,220,True
2998,44,241,180,201,375,False
2998,44,182,211,340,224,True
2998,44,268,185,181,344,False
2998,44,205,158,464,448,True
2998,44,209,125,282,216,True
2998,44,69,219,274,286,False
2998,44,339,250,197,325,False
2998,44,45,251,278,294,False
2998,44,260,264,205,224,False
2998,44,323,285,220,290,False
2998,44,295,135,205,201,True
2998,44,20,312,286,340,False
2998,44,316,44,317,286,True
2998,44,179,318,336,371,False
2998,44,262,326,313,437,False
2998,44,328,263,290,220,True
2998,44,338,235,336,224,True
2998,44,340,351,251,321,False
2998,46,190,3,251,309,False
2998,46,118,12,274,328,False
2998,46,17,14,251,232,True
2998,46,19,340,228,205,True
2998,46,218,24,263,309,False
2998,46,30,34,297,205,True
2998,46,51,33,251,255,False
2998,46,339,43,228,263,False
2998,46,175,53,239,317,False
2998,46,55,187,441,267,True
2998,46,74,316,356,305,True
2998,46,32,78,274,286,False
2998,46,81,117,456,251,True
2998,46,83,202,325,290,True
2998,46,174,84,236,255,False
2998,46,11,87,294,305,False
2998,46,101,111,297,294,True
2998,46,102,173,328,286,True
2998,46,184,103,197,255,False
2998,46,104,299,398,332,True
2998,46,116,71,212,205,True
2998,46,120,164,313,305,True
2998,46,217,122,336,344,False
2998,46,57,125,297,321,False
2998,46,319,128,270,367,False
2998,46,39,131,282,375,False
2998,46,139,154,375,317,True
2998,46,151,171,348,251,True
2998,46,168,10,359,263,True
2998,46,233,169,251,286,False
2998,46,124,178,208,367,False
2998,46,179,241,390,193,True
2998,46,180,318,332,297,True
2998,46,181,301,297,181,True
2998,46,182,56,282,259,True
2998,46,185,326,282,263,True
2998,46,186,73,344,325,True
2998,46,201,341,390,305,True
2998,46,281,204,390,410,False
2998,46,208,207,309,282,True
2998,46,209,85,294,232,True
2998,46,306,214,340,379,False
2998,46,221,62,301,232,True
2998,46,364,225,239,278,False
2998,46,226,52,448,170,True
2998,46,29,237,185,270,False
2998,46,148,243,189,278,False
2998,46,247,188,367,232,True
2998,46,248,133,313,294,True
2998,46,250,147,301,243,True
2998,46,347,253,270,352,False
2998,46,357,254,216,286,False
2998,46,193,256,379,421,False
2998,46,259,2,197,170,True
2998,46,268,262,301,325,False
2998,46,269,211,294,282,True
2998,46,275,138,352,325,True
2998,46,286,276,259,313,False
2998,46,230,278,274,348,False
2998,46,48,282,301,317,False
2998,46,44,283,294,301,False
2998,46,284,38,325,212,True
2998,46,285,80,313,236,True
2998,46,290,60,274,224,True
2998,46,293,321,321,263,True
2998,46,295,297,282,228,True
2998,46,303,310,274,243,True
2998,46,314,261,305,247,True
2998,46,153,317,220,263,False
2998,46,323,288,313,239,True
2998,46,324,161,294,212,True
2998,46,325,70,414,363,True
2998,46,274,335,212,259,False
2998,46,336,322,278,201,True
2998,46,121,344,251,301,False
2998,46,348,93,352,239,True
2998,46,54,351,286,417,False
2998,46,353,311,255,178,True
2998,46,355,75,301,263,True
2998,46,356,198,317,297,True
2998,46,358,239,371,336,True
2998,46,361,258,328,270,True
2998,46,362,59,363,251,True
2998,47,338,4,267,309,False
2998,47,35,244,274,267,True
2998,47,108,37,359,348,True
2998,47,135,163,270,243,True
2998,47,174,297,278,232,True
2998,47,214,65,421,255,True
2998,47,233,85,336,278,True
2998,47,57,265,239,267,False
2998,47,295,84,212,185,True
2998,49,217,8,379,394,False
2998,49,6,16,309,371,False
2998,49,334,24,263,297,False
2998,49,30,206,476,301,True
2998,49,11,50,263,321,False
2998,49,314,60,270,282,False
2998,49,348,63,290,325,False
2998,49,61,66,216,239,False
2998,49,92,322,282,228,True
2998,49,96,139,309,297,True
2998,49,133,230,332,274,True
2998,49,141,171,325,220,True
2998,49,156,268,383,290,True
2998,49,129,160,224,274,False
2998,49,169,209,263,216,True
2998,49,78,176,286,387,False
2998,49,364,178,228,379,False
2998,49,58,199,212,274,False
2998,49,201,238,301,297,True
2998,49,54,204,236,325,False
2998,49,211,2,290,286,True
2998,49,335,221,313,321,False
2998,49,112,222,282,476,False
2998,49,10,236,251,297,False
2998,49,245,132,313,251,True
2998,49,249,241,371,232,True
2998,49,167,252,236,328,False
2998,49,264,70,390,251,True
2998,49,269,310,328,216,True
2998,49,165,273,243,309,False
2998,49,102,276,189,267,False
2998,49,305,190,239,170,True
2998,49,316,154,437,325,True
2998,49,287,325,232,294,False
2998,49,343,127,309,301,True
2998,49,247,352,189,321,False
2998,49,342,354,325,379,False
2998,49,72,356,267,270,False
2998,49,362,259,290,228,True
2998,51,51,4,236,294,False
2998,51,13,126,267,228,True
2998,51,23,180,313,201,True
2998,51,188,34,255,309,False
2998,51,39,68,387,321,True
2998,51,53,56,352,216,True
2998,51,91,22,379,301,True
2998,51,116,103,297,313,False
2998,51,110,337,309,228,True
2998,51,122,17,278,208,True
2998,51,298,128,216,301,False
2998,51,131,223,301,178,True
2998,51,134,79,321,216,True
2998,51,145,3,212,205,True
2998,51,158,234,371,309,True
2998,51,64,163,255,267,False
2998,51,164,159,305,290,True
2998,51,193,172,208,301,False
2998,51,97,181,236,332,False
2998,51,19,184,143,247,False
2998,51,205,237,278,359,False
2998,51,243,253,158,178,False
2998,51,262,43,309,282,True
2998,51,358,274,247,255,False
2998,51,318,279,251,321,False
2998,51,286,80,363,305,True
2998,51,99,293,274,344,False
2998,51,296,235,267,251,True
2998,51,306,150,383,375,True
2998,51,329,328,239,274,False
2998,51,331,208,301,274,True
2998,51,360,32,317,294,True
2998,51,148,363,294,321,False
2998,53,112,14,259,321,False
2998,53,26,16,178,495,False
2998,53,301,20,321,332,False
2998,53,191,37,259,375,False
2998,53,52,41,290,356,False
2998,53,202,77,297,387,False
2998,53,48,92,352,402,False
2998,53,96,49,220,201,True
2998,53,120,100,247,317,False
2998,53,121,117,387,290,True
2998,53,217,138,309,313,False
2998,53,146,169,348,267,True
2998,53,69,153,259,294,False
2998,53,31,154,321,332,False
2998,53,168,244,294,255,True
2998,53,204,177,301,390,False
2998,53,182,310,356,309,True
2998,53,185,239,379,263,True
2998,53,71,206,185,216,False
2998,53,271,214,208,321,False
2998,53,124,218,259,274,False
2998,53,225,226,239,301,False
2998,53,229,209,243,212,True
2998,53,238,284,325,263,True
2998,53,35,248,224,340,False
2998,53,258,249,197,301,False
2998,53,272,260,270,181,True
2998,53,210,282,247,305,False
2998,53,221,308,305,321,False
2998,53,312,241,425,189,True
2998,53,322,356,305,282,True
2998,53,111,325,232,297,False
2998,53,250,333,270,282,False
2998,53,305,334,224,236,False
2998,53,106,339,247,294,False
2998,53,247,340,267,305,False
2998,53,343,84,247,239,True
2998,53,362,196,297,286,True
2998,54,298,8,286,325,False
2998,54,13,327,336,239,True
2998,54,129,39,328,359,False
2998,54,40,309,394,332,True
2998,54,54,58,232,243,False
2998,54,10,64,336,356,False
2998,54,74,75,367,383,False
2998,54,78,98,336,267,True
2998,54,81,285,352,313,True
2998,54,68,83,220,224,False
2998,54,223,157,313,325,False
2998,54,179,170,356,270,True
2998,54,232,101,274,243,True
2998,54,347,251,328,383,False
2998,54,264,288,297,216,True
2998,54,276,357,263,216,True
2998,54,269,281,239,379,False
2998,54,297,192,332,321,True
2998,54,141,324,282,309,False
2998,54,33,328,158,251,False
2998,54,335,323,348,274,True
2998,54,107,338,255,294,False
2998,54,233,344,294,336,False
2998,54,350,125,313,189,True
2998,54,252,352,267,305,False
2998,54,187,354,348,363,False
2998,54,358,48,309,208,True
2998,56,4,201,297,255,True
2998,56,6,222,348,328,True
2998,56,268,24,224,282,False
2998,56,70,29,232,336,False
2998,56,50,77,263,243,True
2998,56,53,87,406,267,True
2998,56,60,173,301,236,True
2998,56,99,280,367,290,True
2998,56,154,108,267,421,False
2998,56,38,116,208,274,False
2998,56,122,314,282,197,True
2998,56,124,174,247,212,True
2998,56,118,128,247,267,False
2998,56,19,134,150,282,False
2998,56,32,156,181,259,False
2998,56,159,191,379,363,True
2998,56,166,62,274,243,True
2998,56,188,183,197,375,False
2998,56,184,193,263,259,True
2998,56,235,198,313,282,True
2998,56,236,283,236,197,True
2998,56,243,120,208,162,True
2998,56,245,241,398,220,True
2998,56,47,260,356,417,False
2998,56,311,261,232,305,False
2998,56,262,165,375,267,True
2998,56,272,126,294,278,True
2998,56,361,278,263,328,False
2998,56,286,360,336,297,True
2998,56,289,86,305,286,True
2998,56,291,321,352,340,True
2998,56,84,293,301,325,False
2998,56,217,300,414,479,False
2998,56,138,312,239,321,False
2998,56,320,306,356,321,True
2998,56,325,145,286,239,True
2998,56,341,112,433,336,True
2998,56,254,349,181,236,False
2998,56,353,41,212,174,True
2998,56,150,363,205,286,False
2998,58,3,149,251,239,True
2998,58,202,8,267,379,False
2998,58,11,17,328,286,True
2998,58,12,161,336,259,True
2998,58,13,207,274,267,True
2998,58,139,14,278,290,False
2998,58,23,341,332,228,True
2998,58,272,29,212,243,False
2998,58,30,117,379,228,True
2998,58,19,32,170,228,False
2998,58,35,121,305,294,True
2998,58,40,141,255,243,True
2998,58,41,241,445,212,True
2998,58,188,47,352,479,False
2998,58,4,50,286,305,False
2998,58,52,305,336,332,True
2998,58,49,55,259,336,False
2998,58,108,60,224,267,False
2998,58,63,163,328,274,True
2998,58,45,81,232,371,False
2998,58,360,84,243,297,False
2998,58,165,86,317,328,False
2998,58,90,279,336,294,True
2998,58,91,259,286,193,True
2998,58,96,355,236,193,True
2998,58,239,101,305,332,False
2998,58,10,103,278,309,False
2998,58,218,106,278,297,False
2998,58,110,51,375,325,True
2998,58,118,254,282,259,True
2998,58,122,145,309,216,True
2998,58,126,70,328,309,True
2998,58,128,349,294,212,True
2998,58,156,134,251,325,False
2998,58,135,220,325,255,True
2998,58,222,138,352,359,False
2998,58,142,153,255,232,True
2998,58,143,75,445,208,True
2998,58,146,131,294,286,True
2998,58,150,38,278,197,True
2998,58,151,340,247,212,True
2998,58,159,320,352,317,True
2998,58,167,361,352,332,True
2998,58,168,352,390,352,True
2998,58,169,362,352,278,True
2998,58,154,173,274,398,False
2998,58,175,132,297,236,True
2998,58,56,176,236,309,False
2998,58,73,177,286,321,False
2998,58,180,335,286,274,True
2998,58,16,181,294,336,False
2998,58,260,183,243,270,False
2998,58,184,291,336,255,True
2998,58,69,185,185,259,False
2998,58,269,186,259,270,False
2998,58,191,306,352,297,True
2998,58,190,192,259,336,False
2998,58,321,193,313,406,False
2998,58,201,77,375,321,True
2998,58,66,204,328,348,False
2998,58,265,205,263,278,False
2998,58,331,208,236,243,False
2998,58,210,65,274,270,True
2998,58,214,316,390,278,True
2998,58,226,233,325,224,True
2998,58,64,228,270,375,False
2998,58,43,229,239,294,False
2998,58,166,236,216,232,False
2998,58,243,24,236,208,True
2998,58,244,248,297,286,True
2998,58,249,302,359,243,True
2998,58,250,93,286,255,True
2998,58,251,148,305,290,True
2998,58,252,364,290,247,True
2998,58,253,324,352,328,True
2998,58,22,256,282,313,False
2998,58,289,262,290,332,False
2998,58,264,158,228,224,True
2998,58,268,120,270,220,True
2998,58,271,133,340,278,True
2998,58,273,147,263,251,True
2998,58,281,129,325,313,True
2998,58,283,62,239,228,True
2998,58,37,284,309,313,False
2998,58,287,275,286,278,True
2998,58,219,288,193,220,False
2998,58,293,286,278,270,True
2998,58,296,82,363,301,True
2998,58,261,300,224,328,False
2998,58,301,258,278,259,True
2998,58,303,61,239,216,True
2998,58,308,274,251,216,True
2998,58,217,311,294,313,False
2998,58,312,6,321,236,True
2998,58,237,317,224,379,False
2998,58,323,199,356,340,True
2998,58,314,325,274,309,False
2998,58,109,326,328,425,False
2998,58,351,329,301,356,False
2998,58,230,333,321,379,False
2998,58,98,334,267,286,False
2998,58,344,127,325,228,True
2998,58,348,92,255,166,True
2998,58,350,263,313,220,True
2998,58,245,353,205,267,False
2998,58,48,354,297,371,False
2998,58,339,356,232,255,False
2998,58,358,57,352,220,True
2998,58,116,363,147,216,False
2998,60,31,85,270,247,True
2998,60,78,109,387,332,True
2998,60,198,164,290,305,False
2998,61,8,14,332,290,True
2998,61,120,30,201,251,False
2998,61,39,173,371,282,True
2998,61,357,54,220,317,False
2998,61,100,73,317,356,False
2998,61,75,107,294,359,False
2998,61,263,111,216,236,False
2998,61,147,337,305,290,True
2998,61,52,176,239,433,False
2998,61,334,223,255,274,False
2998,61,333,247,274,278,False
2998,61,275,256,325,359,False
2998,61,91,281,359,379,False
2998,61,286,235,317,313,True
2998,61,322,316,255,243,True
2998,61,311,353,162,220,False
2998,61,163,354,282,336,False
2998,63,143,16,228,270,False
2998,63,262,29,251,274,False
2998,63,44,322,205,197,True
2998,63,49,254,247,232,True
2998,63,184,74,243,282,False
2998,63,252,82,317,359,False
2998,63,93,92,359,305,True
2998,63,70,125,340,352,False
2998,63,335,131,197,340,False
2998,63,134,220,387,328,True
2998,63,326,135,317,371,False
2998,63,146,302,317,139,True
2998,63,33,149,158,274,False
2998,63,168,157,305,371,False
2998,63,206,169,243,325,False
2998,63,180,79,305,193,True
2998,63,207,301,363,278,True
2998,63,300,228,352,410,False
2998,63,156,229,274,297,False
2998,63,121,244,282,309,False
2998,63,19,250,139,228,False
2998,63,282,45,294,270,True
2998,63,128,296,216,356,False
2998,63,329,328,286,278,True
2998,63,103,339,274,282,False
2998,63,344,273,243,228,True
2998,63,350,86,309,228,True
2998,65,223,30,208,301,False
2998,65,343,32,286,313,False
2998,65,39,334,321,309,True
2998,65,64,320,325,286,True
2998,65,77,10,410,309,True
2998,65,101,205,363,301,True
2998,65,120,133,166,220,False
2998,65,153,310,274,232,True
2998,65,289,154,301,305,False
2998,65,178,3,332,228,True
2998,65,182,183,247,297,False
2998,65,358,204,259,332,False
2998,65,253,271,278,297,False
2998,65,295,234,255,236,True
2998,65,106,333,317,348,False
2998,65,347,34,348,274,True
2998,65,352,38,352,178,True
2998,65,361,60,232,224,True
2998,65,145,362,251,282,False
2998,67,111,126,305,270,True
2998,67,146,187,390,325,True
2998,67,121,169,282,328,False
2998,67,175,73,228,181,True
2998,67,176,85,352,297,True
2998,67,202,360,321,317,True
2998,67,252,225,259,301,False
2998,67,68,237,267,305,False
2998,67,273,116,294,224,True
2998,67,186,354,290,297,False
2998,69,17,211,321,220,True
2998,69,29,69,255,174,True
2998,69,329,40,297,359,False
2998,69,347,44,228,239,False
2998,69,48,71,224,301,False
2998,69,288,118,239,301,False
2998,69,31,131,181,340,False
2998,69,170,310,263,205,True
2998,69,280,254,286,305,False
2998,69,319,232,236,228,True
2998,69,45,342,290,294,False
2998,69,210,344,263,332,False
2998,69,358,258,379,290,True
2998,69,38,364,278,294,False
2998,70,4,230,406,259,True
2998,70,17,254,263,216,True
2998,70,20,279,359,301,True
2998,70,302,24,212,259,False
2998,70,132,39,251,309,False
2998,70,243,40,228,251,False
2998,70,45,38,297,243,True
2998,70,298,55,232,328,False
2998,70,56,85,286,232,True
2998,70,299,58,228,290,False
2998,70,300,63,297,363,False
2998,70,68,239,379,363,True
2998,70,71,44,348,286,True
2998,70,73,191,414,313,True
2998,70,79,149,267,259,True
2998,70,81,176,340,328,True
2998,70,61,84,255,309,False
2998,70,90,319,332,297,True
2998,70,91,256,383,379,True
2998,70,163,92,197,247,False
2998,70,104,102,297,309,False
2998,70,103,169,297,251,True
2998,70,109,110,278,348,False
2998,70,118,170,328,251,True
2998,70,122,127,290,255,True
2998,70,125,8,336,290,True
2998,70,129,126,367,243,True
2998,70,131,41,383,201,True
2998,70,100,133,282,286,False
2998,70,135,134,379,325,True
2998,70,275,141,328,417,False
2998,70,142,77,402,290,True
2998,70,6,143,313,383,False
2998,70,145,334,294,174,True
2998,70,13,146,263,363,False
2998,70,151,171,344,247,True
2998,70,272,153,239,270,False
2998,70,47,156,344,429,False
2998,70,157,106,328,255,True
2998,70,159,320,301,294,True
2998,70,188,160,212,406,False
2998,70,173,51,282,267,True
2998,70,175,362,282,224,True
2998,70,177,78,352,290,True
2998,70,139,180,286,297,False
2998,70,324,181,301,348,False
2998,70,190,182,263,325,False
2998,70,184,206,274,208,True
2998,70,185,237,344,340,True
2998,70,186,287,336,301,True
2998,70,193,192,379,286,True
2998,70,280,211,286,332,False
2998,70,220,318,294,274,True
2998,70,218,221,255,359,False
2998,70,167,225,247,290,False
2998,70,124,226,205,441,False
2998,70,355,229,208,317,False
2998,70,233,183,278,243,True
2998,70,236,32,197,185,True
2998,70,260,263,239,208,True
2998,70,234,262,263,317,False
2998,70,271,289,255,170,True
2998,70,351,281,344,394,False
2998,70,34,283,267,282,False
2998,70,285,164,332,193,True
2998,70,288,310,259,239,True
2998,70,265,290,228,290,False
2998,70,295,293,278,344,False
2998,70,297,172,251,247,True
2998,70,49,309,178,352,False
2998,70,312,178,332,309,True
2998,70,317,261,325,247,True
2998,70,328,69,290,224,True
2998,70,337,10,301,247,True
2998,70,342,364,251,228,True
2998,70,22,343,259,332,False
2998,70,347,48,286,212,True
2998,70,352,238,332,328,True
2998,72,207,12,208,255,False
2998,72,30,121,363,325,True
2998,72,86,111,259,286,False
2998,72,166,70,305,135,True
2998,72,90,232,321,379,False
2998,72,108,245,239,251,False
2998,72,278,96,282,274,True
2998,74,154,34,286,390,False
2998,74,50,199,348,228,True
2998,74,322,51,239,247,False
2998,74,53,182,251,236,True
2998,74,102,55,321,336,False
2998,74,64,364,294,228,True
2998,74,66,33,212,205,True
2998,74,218,83,255,270,False
2998,74,99,214,332,286,True
2998,74,112,47,425,414,True
2998,74,158,314,367,325,True
2998,74,318,172,375,406,False
2998,74,41,176,270,332,False
2998,74,84,180,263,336,False
2998,74,221,126,325,232,True
2998,74,281,185,286,251,True
2998,74,124,305,239,309,False
2998,74,98,316,328,394,False
2998,74,8,350,313,460,False
2998,76,179,17,239,247,False
2998,76,23,132,236,228,True
2998,76,71,117,216,205,True
2998,76,268,161,247,390,False
2998,76,190,166,239,336,False
2998,76,177,127,290,197,True
2998,76,78,178,255,263,False
2998,76,139,214,336,379,False
2998,76,225,61,270,208,True
2998,76,245,291,390,290,True
2998,76,256,287,352,255,True
2998,76,274,356,255,212,True
2998,76,275,217,406,379,True
2998,76,279,299,367,309,True
2998,76,280,97,340,278,True
2998,76,309,312,290,348,False
2998,76,324,20,328,317,True
2998,77,54,4,259,414,False
2998,77,219,12,313,491,False
2998,77,29,288,208,193,True
2998,77,56,66,294,263,True
2998,77,196,77,297,348,False
2998,77,108,110,255,251,True
2998,77,191,141,263,456,False
2998,77,149,316,367,344,True
2998,77,182,138,332,286,True
2998,77,338,209,201,208,False
2998,77,264,226,290,317,False
2998,77,80,236,251,309,False
2998,77,243,201,193,181,True
2998,77,154,251,232,305,False
2998,77,87,297,224,359,False
2998,77,11,323,278,290,False
2998,77,339,151,359,247,True
2998,77,340,348,166,286,False
2998,79,170,40,247,402,False
2998,79,57,91,220,309,False
2998,79,109,173,305,301,True
2998,79,26,139,359,425,False
2998,79,157,187,348,294,True
2998,79,160,314,325,197,True
2998,79,59,164,178,274,False
2998,79,172,178,251,239,True
2998,79,8,179,259,429,False
2998,79,222,205,340,452,False
2998,79,208,303,294,263,True
2998,79,167,238,251,344,False
2998,79,249,112,390,236,True
