label_id,category
1,
2,game-game type
3,game-Game themes
4,game-Art Style
5,game-Leisure time
6,game-Cutting things
7,game-Finding fault
8,game-stress reliever
9,game-pet
10,game-Answer
11,game-Fishing
12,game-Music and Dance
13,game-Puzzle
14,game-Adventure puzzle
15,game-Parkour Racing
16,game-Parkour
17,game-Racing
18,game-Motorcycle
19,game-Rowing
20,game-aircraft
21,game-Gem Elimination
22,game-Box
23,game-gem
24,game-Lianliankan
25,game-Zuma
26,game-Bobble
27,game-Cartoon
28,game-Online game
29,game-Role -playing games
30,game-Competitive action
31,game-Tactics
32,game-card
33,game-Business simulation
34,game-Action Shooting
35,game-Horizontal version
36,game-shooting
37,game-3D
38,game-flight
39,game-tank
40,game-Snipe
41,poker and chess
42,poker game_doudizhu
43,chess
44,majiang
45,table game
46,Texas Poker
47,poker
48,Children puzzle game
49,Puzzle
50,Literacy Games
51,Intellectual development game
52,math
53,Guard tower defense game
54,checkpoints game
55,Beach landing game
56,fighting game
57,old style game
58,basketball
59,football
60,tennis
61,billards
62,other ball game
63,RPG game
64,Turn based RPG game
65,realtime fighting
66,ARPG
67,business strategy game
68,war chess
69,business
70,farm
71,raising up game
72,pet raising up
73,love raising up
74,unknown
75,puzzel
76,gambling
77,3 kindom game
78,knight game
79,Cultivation fantasy game
80,Journey to the West game
81,Outlaws of the Marsh game
82,Chinese Classical Mythology
83,Western Mythology
84,80s Japanese comic
85,90s Japanese comic
86,movie
87,shows
88,millitary and wars
89,science fiction
90,zombies game
91,World of Warcraft
92,magic
93,dotal-lol
94,sailing game
95,sports
96,Chinese painting
97,japanese and korean style
98,japanese comic and animation
99,US and Europe animation
100,Cute style comic
101,pixel style comic
102,violence comic
103,US and Europe magic comic
104,realistic style comic
105,chinese comic
115,unknown
125,unknown
126,unknown
127,online shopping
128,online malls
129,"online shopping by group, like groupon"
130,online shopping navigation
131,"online shopping, price comparing"
132,shopping sharing
133,education
134,education for babies
135,education outside class
136,study abroad
137,foreign language
138,professional skills
139,management
140,art and culture
141,library
142,exams
143,dialects
144,class managemetn
145,reading
146,reading for fetus
147,children books
148,novels
149,magazine and journal
150,comics
151,dictionary
152,reading platform
153,poetry
154,joke
155,psychology
156,science
157,Information
158,news
159,Entertainment News
160,Academic Information
161,Sports News
162,Financial Information
163,Technology Information
164,gaming strategy
165,Socially
166,weibo
167,love and marriage
168,community
169,picture sharing
170,blogs
171,communitation
172,IM
173,mesasge
174,email
175,phone
176,movie
177,radio
178,music
179,video
180,show
181,Audiobooks
182,Business Travel
183,map
184,navigation
185,Behalf of the drive
186,Taxi
187,Car
188,flight
189,Bus
190,train
191,Hotel application
192,Travel advisory
193,tourism product
194,Share Travels
195,coach transport
196,Household
197,Decoration
198,Appliances
199,Furniture
200,household products
201,Smart Home
202,health
203,lose weight
204,sports and gym
205,health
206,Medical
207,Health Management
208,Living
209,pictures photography
210,Man playing favorites
211,takeaway ordering
212,Astrology Horoscope
213,coupon
214,Reviews
215,Recipes
216,Business Office
217,Weather
218,Clock
219,Express
220,Calendar
221,Accounting
222,Car Owners
223,convenience services
224,fashion outfit
225,Points Activities
226,Housekeeping
227,Integrated Living
228,work
229,Jobs
230,Scheduling
231,notes
232,notes
233,File Editor
234,business cards
235,Contacts
236,network disk
237,store management
238,Engineering Drawing
239,phone tools
240,System Tools
241,App Store
242,search
243,Input Method
244,Browser
245,Desktop Enhancements
246,readers
247,Utilities
248,
249,Editor
250,WIFI
251,Finance
252,Wealth Management
253,IMF
254,Direct Bank
255,Direct Insurance
256,Securities
257,futures
258,Exchange
259,Precious Metals
260,Crowdfunding financing
261,Lottery ticket
262,Pay
263,Debit and credit
264,
265,Estate
266,Housing Advice
267,Buy
268,Sellers
269,Rentals
270,Mother
271,Prepare pregnant pregnancy
272,Parenting
273,Maternal and child supplies
274,entertainment
275,KTV
276,show
277,the film
278,car
279,Automotive News
280,Sale of cars
281,A beauty care
282,Skin care applications
283,Beauty Nail
284,Make-up application
302,unknown
303,unknown
304,unknown
305,unknown
306,unknown
312,Consumer preferences
313,Consumer Goods
314,Consumer orientation
315,Brand Country
316,Occupational identity
317,College Students
318,unknown
319,unknown
320,unknown
326,Condition of the vehicles
327,Car
328,No Car
329,Jewelry Watches
330,branded watch
331,fashion brand
332,Switzerland
333,Dress shoes
334,Women
335,Shoes
336,Men's
337,Men's Shoes
338,France
